Scheme	Traffic	Time (s)	Throughput (Mbit/s)
bbr	ingress	27.90	10.40
bbr	ingress	28.05	9.60
bbr	ingress	28.20	9.60
bbr	ingress	28.35	10.40
bbr	ingress	28.50	8.64
bbr	ingress	28.65	10.40
bbr	ingress	28.80	9.60
bbr	ingress	28.95	10.08
bbr	ingress	29.10	11.36
bbr	ingress	29.25	8.80
bbr	ingress	29.40	8.80
bbr	ingress	29.55	8.32
bbr	ingress	29.70	7.84
bbr	ingress	29.85	9.92
bbr	ingress	30.00	9.60
bbr	ingress	30.15	10.24
bbr	ingress	30.30	9.44
bbr	ingress	30.45	10.56
bbr	ingress	30.60	11.20
bbr	ingress	30.75	10.72
bbr	ingress	30.90	12.00
bbr	ingress	31.05	9.60
bbr	ingress	31.20	5.60
bbr	ingress	31.35	4.48
bbr	ingress	31.50	5.44
bbr	ingress	31.65	5.28
bbr	ingress	31.80	7.04
bbr	ingress	31.95	5.92
bbr	ingress	32.10	5.76
bbr	ingress	32.25	5.76
bbr	ingress	32.40	4.96
bbr	ingress	32.55	4.96
bbr	ingress	32.70	3.84
bbr	ingress	32.85	2.40
bbr	ingress	33.00	1.76
pareto	egress	3.15	0.00
pareto	egress	3.30	0.16
pareto	egress	3.45	0.56
pareto	egress	3.60	0.88
pareto	egress	3.75	0.80
pareto	egress	3.90	0.80
pareto	egress	4.05	0.56
pareto	egress	4.20	0.40
pareto	egress	4.35	0.32
pareto	egress	4.50	0.32
pareto	egress	4.65	0.16
pareto	egress	4.80	0.16
pareto	egress	4.95	0.16
pareto	egress	5.10	0.16
pareto	egress	5.25	0.16
pareto	egress	5.40	0.16
pareto	egress	5.55	0.08
pareto	egress	5.70	0.16
pareto	egress	5.85	0.08
pareto	egress	6.00	0.16
pareto	egress	6.15	0.16
pareto	egress	6.30	0.08
pareto	egress	6.45	0.16
pareto	egress	6.60	0.08
pareto	egress	6.75	0.16
pareto	egress	6.90	0.08
pareto	egress	7.05	0.16
pareto	egress	7.20	0.08
pareto	egress	7.35	0.08
pareto	egress	7.50	0.16
pareto	egress	7.65	0.16
pareto	egress	7.80	0.16
pareto	egress	7.95	0.16
pareto	egress	8.10	0.16
pareto	egress	8.25	0.16
pareto	egress	8.40	0.08
pareto	egress	8.55	0.08
pareto	egress	8.70	0.16
pareto	egress	8.85	0.16
pareto	egress	9.00	0.16
pareto	egress	9.15	0.24
pareto	egress	9.30	0.16
pareto	egress	9.45	0.24
pareto	egress	9.60	0.24
pareto	egress	9.75	0.24
pareto	egress	9.90	0.24
pareto	egress	10.05	0.16
pareto	egress	10.20	0.16
pareto	egress	10.35	0.16
pareto	egress	10.50	0.16
pareto	egress	10.65	0.16
pareto	egress	10.80	0.08
pareto	egress	10.95	0.16
pareto	egress	11.10	0.16
pareto	egress	11.25	0.16
pareto	egress	11.40	0.16
pareto	egress	11.55	0.08
pareto	egress	11.70	0.16
pareto	egress	11.85	0.08
pareto	egress	12.00	0.16
pareto	egress	12.15	0.08
pareto	egress	12.30	0.08
pareto	egress	12.45	0.08
pareto	egress	12.60	0.16
pareto	egress	12.75	0.08
pareto	egress	12.90	0.16
pareto	egress	13.05	0.08
pareto	egress	13.20	0.16
pareto	egress	13.35	0.16
pareto	egress	13.50	0.16
pareto	egress	13.65	0.08
pareto	egress	13.80	0.16
pareto	egress	13.95	0.08
pareto	egress	14.10	0.16
pareto	egress	14.25	0.08
pareto	egress	14.40	0.08
pareto	egress	14.55	0.16
pareto	egress	14.70	0.08
pareto	egress	14.85	0.16
pareto	egress	15.00	0.08
pareto	egress	15.15	0.08
pareto	egress	15.30	0.16
pareto	egress	15.45	0.08
pareto	egress	15.60	0.16
pareto	egress	15.75	0.08
pareto	egress	15.90	0.08
pareto	egress	16.05	0.16
pareto	egress	16.20	0.08
